統計期間,負責機關,毒品案件總數,第一級毒品案件數,第二級毒品案件數,第三級毒品案件數,第四級毒品案件數,其他毒品案件數,嫌疑犯總人數,第一級毒品嫌疑犯人數,第二級毒品嫌疑犯人數,第三級毒品嫌疑犯人數,第四級毒品嫌疑犯人數,其他毒品嫌疑犯人數,毒品總重量（克）,第一級毒品重量（克）,第二級毒品重量（克）,第三級毒品重量（克）,第四級毒品重量（克）,其他毒品重量（克）
114年,機關別總計,47638,7459,37063,2886,101,129,47867,7297,36951,3341,150,128,13393880.56,249384.01,2323597.55,6454806.43,4365815.54,277.03
114年,新北市,9445,1053,7904,433,30,25,8911,1021,7437,416,18,19,350079.44,5683.94,164751.9,86250.86,93392.73,-
114年,臺北市,4133,391,3502,218,9,13,5496,511,4471,462,39,13,1091607.11,20109.84,348313.11,722216.42,967.74,-
114年,桃園市,5807,849,4667,275,11,5,5867,841,4685,328,6,7,636458.77,12822.81,71351.93,35904.18,516371.12,8.72
114年,臺中市,4799,856,3368,560,8,7,4991,903,3428,631,21,8,3954502.14,7918.64,148755.29,1993818.17,1804008.29,1.75
114年,臺南市,3402,502,2663,216,2,19,3270,517,2518,217,1,17,212237.75,10981.76,61252.28,97961.62,42042.1,-
114年,高雄市,5319,886,4028,392,4,9,4906,768,3688,427,16,7,2649052.59,37716.73,190424.72,1474301.04,946609.09,1
114年,宜蘭縣,813,141,617,54,-,1,824,148,622,53,-,1,40337.84,4907.62,32230.01,3200.21,-,-
114年,新竹縣,1156,197,900,54,2,3,1025,176,807,38,-,4,1665779.82,640.28,36738.08,1628401.46,-,-
114年,苗栗縣,1123,261,799,58,2,3,1026,256,709,59,1,1,66374.16,18944.99,21068.92,26360.25,-,-
114年,彰化縣,1953,684,1152,101,4,12,1889,641,1138,93,7,10,32823.56,2912.54,24962.11,4887.19,61.73,-
114年,南投縣,954,344,562,42,6,-,818,279,476,54,9,-,48543,925.01,12832.02,30424.94,4361.02,-
114年,雲林縣,1454,326,1051,76,-,1,1373,290,1002,80,1,-,57746.65,1111.37,25126.86,31492.8,15.61,-
114年,嘉義縣,922,116,747,58,-,1,1345,156,1054,132,-,3,28308.41,1101.54,16622.7,10584.16,-,-
114年,屏東縣,1646,254,1314,71,5,2,1483,220,1193,61,6,3,261048.72,220.14,33012.79,6902.36,220913.43,-
114年,臺東縣,324,17,303,4,-,-,333,16,304,13,-,-,12996.76,302.29,9146.64,3547.83,-,-
114年,花蓮縣,664,104,533,26,-,1,636,100,511,23,1,1,15800.71,501.42,11841.59,3341.2,116.5,-
114年,澎湖縣,173,3,150,19,-,1,180,6,154,19,-,1,1649.17,0.83,922.96,725.38,-,-
114年,基隆市,1502,173,1289,32,2,6,1416,149,1233,27,-,7,35387.58,1171.09,23187.82,11028.66,-,-
114年,新竹市,594,116,442,34,-,2,639,122,460,56,-,1,424019.65,336.03,13198.75,179332.28,231152.59,-
114年,嘉義市,891,97,674,110,1,9,782,82,593,98,1,8,119839.23,112.75,7800.77,14167.71,97758,-
114年,金門縣,124,7,103,14,-,-,134,8,104,22,-,-,894.87,1.54,672.82,220.51,-,-
114年,連江縣,5,1,4,-,-,-,5,1,4,-,-,-,14.25,-,14.25,-,-,-
114年,署所屬機關,435,81,291,39,15,9,518,86,360,32,23,17,1688378.39,120960.85,1069369.21,89737.18,408045.59,265.56
